nc,lv,yr,pid,mid,sn,pn,gnd,hse,tg,sc,sl,ss,sr,g,gd,log,stdResA,stdResB,isIEP,isEAL,isGT,isTotal,isKPI,isVA
11,MS,2011,27517,787092213,Immanuel,Bearward,F,R,x,G,Chemistry,C,8462H,5/C/10,4,x,-2.105282632,-2.53639044,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,28645,856427490,Kile,O'Cahey,F,Hm,x,G,Chemistry,C,x,Sc.3,5,x,-1.953448457,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2004,12449,239720909,Codi,Dufaur,F,x,x,I,Chemistry (HL),Ch,x,x,3,x,-1.93214,-1.063215,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2010,32501,288854326,Laureen,Gerrad,M,SHD,x,A,Chemistry,C,H432A,C/D,D,x,-1.87982,-1.58655,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2005,27480,635073264,Cecil,Bigly,M,SH,x,A,Chemistry,C,H432A,x,D,x,-1.840701,NULL,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2007,29648,218928097,Andra,Fleet,F,RH,x,A,Chemistry,C,H432,C.C,D,x,-1.83243,-1.051271,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,22637,237103288,Annette,Reye,M,H,x,G,Chemistry,C,x,Sc.3,5,x,-1.796812203,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,26956,321611635,Sallie,Whyley,M,Cl,x,G,Chemistry,C,x,Sc.3,5,x,-1.795226392,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,18166,324729394,Hermia,Carpmile,F,St,x,G,Chemistry,C,x,Sc.4,5,x,-1.756833558,NULL,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2006,20770,404783432,Nan,Camillo,M,SH,x,A,Chemistry,C,H432A,C.C,D,x,-1.753627,-2.097166,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2011,22114,297025170,Drusi,Grouen,M,Cl,x,G,Chemistry,C,8462H,5/C/2,4,x,-1.70528296,-2.211034365,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2006,12954,126874082,Cathe,Batchellor,M,SH,x,A,Chemistry,C,H432A,C.D,D,x,-1.694113,-1.928898,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
13,US,2012,46690,168933306,Tera,Kuschel,M,SHD,x,I,Chemistry (HL),Ch,,7/Ch/A,4,,-1.68316,-1.07778,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,21351,156262498,Neall,Kane,F,Hm,x,G,Chemistry,C,x,Sc.4,5,x,-1.640844129,NULL,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2010,19191,920965113,Alaster,Lucey,M,Cl,x,G,Chemistry,C,8462H,C_TA/1,5,x,-1.63413109,-2.156895732,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2011,42044,574130178,Sascha,Morin,M,SHB,x,A,Chemistry,C,H432A,7/C/A,D,x,-1.614259,-1.377903,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2010,31887,227266275,Dorita,Bannard,M,H,x,G,Chemistry,C,8462H,C_TA/1,6,x,-1.602491459,-1.732899803,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2005,31384,150413641,Pearce,Radsdale,M,SH,x,I,Chemistry (HL),Ch,8034,x,3,x,-1.552677,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2004,38169,139354060,Jill,Ingold,F,x,x,A,Chemistry,C,x,x,C,x,-1.52214,-0.6917478,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2010,25134,224076669,Mattie,Cominotti,M,SHB,x,A,Chemistry,C,H432A,C/D,D,x,-1.490445,-2.020455,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2009,44588,380214348,Kora,Whight,M,C,x,G,Chemistry,C,8462H,5/C/1,5,x,-1.489249304,-1.867728723,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2006,34919,181263327,Prisca,Boness,M,SH,x,A,Chemistry,C,H432A,C.D,E,x,-1.483993,-1.3291,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2007,18930,198909913,Brittany,Gowrie,F,RH,x,I,Chemistry (SL),Cs,x,C.Es,5,x,-1.394406,0.2003358,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
11,MS,2012,20018,727405285,Alair,Cordy,M,W,x,G,Chemistry,C,8462H,5/C/1,6,,-1.351086227,-1.562747313,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2004,10556,274568496,Zara,Stancliffe,F,x,x,I,Chemistry (SL),Cs,x,x,3,x,-1.343601,-1.345316,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
13,US,2006,25511,451421330,Evanne,Gian,M,SH,x,I,Chemistry (HL),Ch,8034,C.Ah,5,x,-1.298038,-0.1178439,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,15595,833948553,Sheilakathryn,Daverin,M,H,x,G,Chemistry,C,8462H,5/C/3,5,,-1.270298433,-1.693119167,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2011,45361,883407280,Ricky,Websdale,M,C,x,G,Chemistry,C,8462H,5/C/1,5,x,-1.263088307,-1.70298437,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2006,32679,536869069,Benni,Hartles,F,RH,x,I,Chemistry (HL),Ch,8034,C.Ah,5,x,-1.258139,-0.2414026,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2011,20183,248230642,Devlen,Flipsen,F,R,x,G,Chemistry,C,8462H,5/C/10,3,x,-1.254545318,-1.861032363,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2006,39969,221129616,Lynnette,Di Biasi,F,RH,x,A,Chemistry,C,H432A,C.C,D,x,-1.253717,-1.134303,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2011,24144,621647277,Alard,Earnshaw,F,RHD,x,A,Chemistry,C,H432A,7/C/A,C,x,-1.235261,-0.5596469,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,23145,371704769,Goldina,McCrohon,F,B,x,G,Chemistry,C,x,Sc.2,6,x,-1.232582086,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2010,23966,894726112,Chariot,Allanby,M,Cl,x,G,Chemistry,C,8462H,C_TA/1,6,x,-1.211795595,-1.603916624,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,21387,287553832,Christophe,Gurner,F,G,x,G,Chemistry,C,x,Sc.4,5,x,-1.205512096,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,35971,529969658,Onofredo,Katte,M,H,x,G,Chemistry,C,8462H,5/C/2,5,,-1.200435033,-1.631301647,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2011,49947,837891114,Karyn,Reneke,F,G,x,G,Chemistry,C,8462H,5/C/1,4,x,-1.195580853,-1.74371762,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2009,46571,153415246,Hillard,Flaonier,M,Bw,x,G,Chemistry,C,8462H,5/C/2,5,x,-1.184823258,-1.572754758,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2008,32182,700280506,Gil,Tynan,F,RH,x,A,Chemistry,C,x,C.A,C,x,-1.18021,0.06678627,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2011,46624,711065729,Pincus,McSporon,M,H,x,G,Chemistry,C,8462H,5/C/10,4,x,-1.175803277,-1.695469158,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2012,12162,466073161,Coriss,Shelvey,F,RHD,x,I,Chemistry (HL),Ch,,7/Ch/A,5,,-1.173721,0.4143403,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
11,MS,2011,15102,337820021,Adriane,Palle,F,R,x,G,Chemistry,C,8462H,5/C/2,5,x,-1.172936135,-1.574462606,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2004,16356,553344886,Opaline,Cristofanini,F,x,x,A,Chemistry,C,x,x,C,x,-1.151736,-0.3981669,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,26090,221876263,Ferrel,Buttel,M,H,x,G,Chemistry,C,8462H,5/C/4,5,,-1.14168404,-1.578686229,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2009,46976,298357564,Marijn,Guillon,M,SHD,x,I,Chemistry (HL),Ch,x,7/Ch/A,4,x,-1.141427,-1.056089,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2011,11624,231837398,Maryjane,Cornils,M,C,x,G,Chemistry,C,8462H,5/C/2,4,x,-1.139291513,-1.691680326,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
13,US,2005,49218,789525852,Fielding,Kield,F,RH,x,I,Chemistry (HL),Ch,8034,x,4,x,-1.130608,NULL,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
11,MS,2008,31048,552092319,Glenn,Bletsoe,M,C,x,G,Chemistry,C,8462F,5/C/x,4,x,-1.116251748,-1.399322915,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
11,MS,2010,28959,628414022,Melisande,Kenworthy,F,R,x,G,Chemistry,C,8462H,C_TA/1,5,x,-1.102427625,-1.566970807,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,35175,632159967,Babita,Ramme,M,W,x,G,Chemistry,C,8462H,5/C/4,5,,-1.09376572,-1.535374383,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2009,17581,828937534,Natka,Wallicker,M,Cl,x,G,Chemistry,C,8462H,5/C/2,6,x,-1.055743699,-1.368499217,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,28882,224732352,Hughie,Tallant,F,St,x,G,Chemistry,C,x,Sc.4,6,x,-1.052308762,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,26309,584497689,Bettina,Baugh,M,Bw,x,G,Chemistry,C,x,Sc.1,7,x,-1.043842178,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2010,49038,978374846,Pepi,Diboll,M,Cl,x,G,Chemistry,C,8462H,C_TA/1,5,x,-0.996436709,-1.52264209,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,22839,827887915,Nickola,Stockney,M,Bw,x,G,Chemistry,C,8462H,5/C/1,4,,-0.993634367,-1.525841481,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,31603,502307146,Benedicta,Albery,F,R,x,G,Chemistry,C,8462H,5/C/4,6,,-0.988219333,-1.260588733,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
13,US,2005,20062,496588119,Ruperto,Gatty,M,SH,x,A,Chemistry,C,H432A,x,C,x,-0.979764,-0.5209374,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2011,39865,993808115,Izabel,McTear,M,C,x,G,Chemistry,C,8462H,5/C/2,5,x,-0.970801345,-1.391569367,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2010,47996,966178239,Addie,Trigwell,F,RHB,x,I,Chemistry (SL),Cs,x,A,5,x,-0.9578679,0.7227868,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
13,US,2010,34849,917956108,Jordana,Greenman,M,SHD,x,A,Chemistry,C,H432A,C/D,B,x,-0.9529782,-0.4845175,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2011,11871,718839602,April,Melmore,M,C,x,G,Chemistry,C,8462H,5/C/1,6,x,-0.945899487,-1.295159088,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2012,17576,867995324,Ricca,McGinny,F,RHB,x,A,Chemistry,C,H432A,7/C/A,C,,-0.9257036,-0.9356429,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,18414,212386444,King,Footitt,M,C,x,G,Chemistry,C,x,Sc.2,7,x,-0.904043065,NULL,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
11,MS,2012,21918,592380650,Stefania,Bienvenu,F,G,x,G,Chemistry,C,8462H,5/C/3,5,,-0.900910567,-1.358014609,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2008,21011,116056496,Wilmar,Paley,M,C,x,G,Chemistry,C,8462H,5/C/1,5,x,-0.875110556,-1.174043754,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2005,28318,632953567,Martina,Baterip,F,RH,x,I,Chemistry (SL),Cs,8035,x,5,x,-0.8666552,-0.1487431,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
13,US,2006,22727,229327098,Eada,Skate,F,RH,x,A,Chemistry,C,H432A,C.C,C,x,-0.8329994,-0.6279001,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,45601,558303257,Tabor,Ciraldo,F,Hm,x,G,Chemistry,C,8462H,5/C/4,5,,-0.83292138,-1.294489592,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2007,48440,764410211,Ferdinanda,Jelf,M,SH,x,I,Chemistry (SL),Cs,x,C.Es,5,x,-0.8121717,-1.258438,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
13,US,2004,34506,178937358,Chryste,Webland,F,x,x,A,Chemistry,C,x,x,B,x,-0.8067184,0.03659403,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2009,24641,548646303,Lela,Boustred,F,RHB,x,A,Chemistry,C,H432A,7/C/A,D,x,-0.8054513,-1.74859,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2008,38552,799361487,Vinnie,Pasterfield,F,RH,x,A,Chemistry,C,x,C.A,D,x,-0.8054513,-1.487098,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2005,49022,225598951,Lance,Thairs,M,SH,x,A,Chemistry,C,H432A,x,B(196),x,-0.7802598,NULL,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
11,MS,2010,15291,502866880,Eric,Hanselmann,M,C,x,G,Chemistry,C,8462H,C_TA/2,6,x,-0.772891363,-1.191714128,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,35523,168543538,Ashli,Caughtry,F,St,x,G,Chemistry,C,8462H,5/C/4,4,,-0.771540457,-1.264228117,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,11023,391765623,Patty,Carefull,F,St,x,G,Chemistry,C,x,Sc.2,6,x,-0.7659348,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,44923,474823257,Marc,Chipping,M,Cl,x,G,Chemistry,C,x,Sc.2,6,x,-0.750360518,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,39789,489136954,Carce,Hartil,F,R,x,G,Chemistry,C,8462H,5/C/4,4,,-0.745401638,-1.238767062,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2009,21761,611535020,Annis,Abbis,M,C,x,G,Chemistry,C,8462H,5/C/1,6,x,-0.725040864,-0.990397292,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2009,37497,158285907,Vicky,Butlin,F,Hm,x,G,Chemistry,C,8462H,5/C/3,6,x,-0.724027128,-1.09059207,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,33507,115944127,Kimbra,Cline,M,C,x,G,Chemistry,C,x,Sc.1,7,x,-0.714628805,NULL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2011,41028,155607849,Dolli,Geillier,M,W,x,G,Chemistry,C,8462H,5/C/3,5,x,-0.712384287,-1.203455362,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,16053,501972384,Artus,Fewell,M,Bw,x,G,Chemistry,C,x,Sc.2,7,x,-0.708587407,NULL,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,34335,922252492,Mireielle,Fanstone,M,C,x,G,Chemistry,C,x,Sc.4,6,x,-0.704723413,NULL,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,41244,583027373,Celene,Rubertelli,F,G,x,G,Chemistry,C,8462H,5/C/1,6,,-0.704538573,-1.065894253,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,46186,409117142,Deane,Stollenbecker,F,x,x,G,Chemistry,C,x,Sc.3,7,x,-0.701901774,NULL,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,10638,213835095,Dianna,Willacot,F,Hm,x,G,Chemistry,C,8462H,5/C/3,6,,-0.696167553,-1.058693687,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2007,37050,638313507,Erie,Piecha,F,RH,x,A,Chemistry,C,H432,C.C,C,x,-0.6920208,-0.3607529,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2006,10011,815972215,Lynett,Dufore,F,RH,x,A,Chemistry,C,H432A,C.A,B,x,-0.6860427,0.1807604,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,15619,499178234,Micky,Milkin,F,G,x,G,Chemistry,C,8462H,5/C/1,6,,-0.684902238,-1.033539289,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,30684,710537848,Kerrie,Brotherwood,F,Hm,x,G,Chemistry,C,x,Sc.2,7,x,-0.66887006,NULL,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
11,MS,2011,19413,883358791,Thorstein,Claydon,F,R,x,G,Chemistry,C,8462H,5/C/10,5,x,-0.668187234,-1.132562301,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,41704,803723775,Thomasine,MacDaid,M,C,x,G,Chemistry,C,8462H,5/C/1,8,,-0.665956313,-0.499213361,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
13,US,2012,11000,382275752,Drusy,Cheale,F,RHD,x,I,Chemistry (HL),Ch,,7/Ch/A,4,,-0.656812,-1.048945,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
11,MS,2012,45271,446702297,Arie,Mary,M,C,x,G,Chemistry,C,8462H,5/C/3,5,,-0.656388667,-1.127655698,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,19254,378452629,Clemmy,Eversley,F,R,x,G,Chemistry,C,8462H,5/C/2,6,,-0.653725013,-1.021996655,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,45530,624214226,Ted,Kincey,M,Cl,x,G,Chemistry,C,8462H,5/C/2,4,,-0.652534533,-1.193327624,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2010,21388,722945074,Alleen,Jeandet,M,Cl,x,G,Chemistry,C,8462H,C_TA/3,8,x,-0.647664624,-0.447989151,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
11,MS,2011,45833,753535789,Gaspard,Grubbe,F,G,x,G,Chemistry,C,8462H,5/C/3,5,x,-0.64338806,-1.139911815,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2011,28199,496419327,Bibbie,Scowcraft,F,RHB,x,I,Chemistry (HL),Ch,x,7/Ch/A,3,x,-0.6419012,-1.255866,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2012,47410,816363400,Deva,Cuerda,M,Bw,x,G,Chemistry,C,8462H,5/C/4,6,,-0.639143913,-1.009306913,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2011,19977,750952330,Bengt,Williscroft,F,Hm,x,G,Chemistry,C,8462H,5/C/2,8,x,-0.629655573,-0.521348451,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
11,MS,2011,47451,220669805,Janeva,Romaint,M,Bw,x,G,Chemistry,C,8462H,5/C/2,6,x,-0.620240933,-1.014620775,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,46273,274677157,Alicia,Glancy,M,Bw,x,G,Chemistry,C,x,Sc.1,7,x,-0.613141433,NULL,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
11,MS,2011,15493,770681214,Eustace,Borzoni,M,H,x,G,Chemistry,C,8462H,5/C/10,3,x,-0.611612846,-1.264775705,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2010,30719,864798172,Lannie,Cajkler,F,R,x,G,Chemistry,C,8462H,C_TA/1,5,x,-0.610288271,-1.095011056,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2005,36320,294529153,Bink,Ponde,M,SH,x,A,Chemistry,C,H432A,x,B,x,-0.5950591,-1.020296,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2009,46916,656798904,Ahmed,Tofanini,M,H,x,G,Chemistry,C,8462H,5/C/2,5,x,-0.59227678,-0.743971013,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2011,13268,329020486,Lemar,Larvin,M,C,x,G,Chemistry,C,8462H,5/C/3,6,x,-0.58414834,-0.982621845,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,15409,471869618,Ferdinand,Maryott,M,H,x,G,Chemistry,C,x,Sc.1,7,x,-0.573807024,NULL,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2005,29700,367871190,Cody,Rossbrooke,F,RH,x,I,Chemistry (HL),Ch,8034,x,4,x,-0.5694309,0.1012401,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2009,28293,410408044,Hannah,Shirley,M,Bw,x,G,Chemistry,C,8462H,5/C/2,6,x,-0.558895023,-0.790137932,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2004,41533,682192806,Pate,Confort,M,x,x,A,Chemistry,C,x,x,B,x,-0.5553737,-0.4865136,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,MS,2007,17207,739545731,Shaylynn,Lipscombe,F,B,x,G,Chemistry,C,x,Sc.3,6,x,-0.554026357,NULL,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
11,MS,2011,42464,505973474,Merwin,Hebbes,M,Bw,x,G,Chemistry,C,8462H,5/C/3,6,x,-0.548496327,-0.950878905,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
13,US,2010,19422,413553588,Darn,Iiannone,M,SHD,x,A,Chemistry,C,H432A,C/A,A,x,-0.5382294,0.2848883,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
